state,data_year,dq_assessment,missing_pct,n_pop,Medicaid_expanded,n_miss,mco_n,mco_pct
Alabama,2014,High concern,47.5,1308578,Not Adopted,621574.55,N/A,N/A
Alaska,2014,Low concern,3.9,161379,Adopted,6293.781,N/A,N/A
Arizona,2014,Excluded,NA,NA,Adopted,NA,1317463,N/A
Arkansas,2014,Excluded,NA,NA,Adopted,NA,N/A,N/A
California,2014,Excluded,NA,NA,Adopted,NA,7811712,N/A
Colorado,2014,High concern,43.4,1370174,Adopted,594655.516,63473,N/A
Connecticut,2014,Excluded,NA,NA,Adopted,NA,N/A,N/A
Delaware,2014,Low concern,0,282197,Adopted,0,195974,N/A
District of Columbia,2014,Medium concern,17.6,101077,Adopted,17789.552,172308,N/A
Florida,2014,Medium concern,12.4,4850366,Not Adopted,601445.384,2658159,N/A
Georgia,2014,Excluded,NA,NA,Not Adopted,NA,1345813,N/A
Hawaii,2014,Excluded,NA,NA,Adopted,NA,316354,N/A
Idaho,2014,Excluded,NA,NA,Adopted,NA,N/A,N/A
Illinois,2014,Low concern,7.5,3730493,Adopted,279786.975,439899,N/A
Indiana,2014,Excluded,NA,NA,Adopted,NA,737122,N/A
Iowa,2014,Excluded,NA,NA,Adopted,NA,58285,N/A
Kansas,2014,Unusable,79.5,501260,Not Adopted,398501.7,356271,N/A
Kentucky,2014,Excluded,NA,NA,Adopted,NA,1081673,N/A
Louisiana,2014,Excluded,NA,NA,Adopted,NA,418174,N/A
Maine,2014,Low concern,9.8,359878,Adopted,35268.044,N/A,N/A
Maryland,2014,Medium concern,15,1506949,Adopted,226042.35,1084437,N/A
Massachusetts,2014,Excluded,NA,NA,Adopted,NA,799768,N/A
Michigan,2014,Excluded,NA,NA,Adopted,NA,1831208,N/A
Minnesota,2014,Excluded,NA,NA,Adopted,NA,791004,N/A
Mississippi,2014,Excluded,NA,NA,Not Adopted,NA,155124,N/A
Missouri,2014,Excluded,NA,NA,Adopted,NA,388857,N/A
Montana,2014,Low concern,5.7,165636,Adopted,9441.252,N/A,N/A
Nebraska,2014,Unusable,100,308874,Adopted,308874,183497,N/A
Nevada,2014,Low concern,4.3,688451,Adopted,29603.393,360195,N/A
New Hampshire,2014,Low concern,3.7,225099,Adopted,8328.663,121161,N/A
New Jersey,2014,Excluded,NA,NA,Adopted,NA,1314180,N/A
New Mexico,2014,Low concern,1.2,842188,Adopted,10106.256,579530,N/A
New York,2014,Excluded,NA,NA,Adopted,NA,4285165,N/A
North Carolina,2014,Low concern,1.6,2243279,Adopted,35892.464,N/A,N/A
North Dakota,2014,Low concern,4.3,97306,Adopted,4184.158,11713,N/A
Ohio,2014,Excluded,NA,NA,Adopted,NA,2027590,N/A
Oklahoma,2014,Excluded,NA,NA,Adopted,NA,N/A,N/A
Oregon,2014,Excluded,NA,NA,Adopted,NA,827939,N/A
Pennsylvania,2014,Excluded,NA,NA,Adopted,NA,1668071,N/A
Puerto Rico,2014,Excluded,NA,NA,NA,NA,1459263,N/A
Rhode Island,2014,Unusable,100,328044,Adopted,328044,217540,N/A
South Carolina,2014,Excluded,NA,NA,Not Adopted,NA,720327,N/A
South Dakota,2014,Excluded,NA,NA,Adopted,NA,N/A,N/A
Tennessee,2014,Excluded,NA,NA,Not Adopted,NA,1288629,N/A
Texas,2014,Excluded,NA,NA,Not Adopted,NA,3231250,N/A
Utah,2014,Excluded,NA,NA,Adopted,NA,201356,N/A
Vermont,2014,Excluded,NA,NA,Adopted,NA,N/A,N/A
Virgin Islands,2014,Excluded,NA,NA,NA,NA,,
Virginia,2014,Excluded,NA,NA,Adopted,NA,644720,N/A
Washington,2014,Excluded,NA,NA,Adopted,NA,1232979,N/A
West Virginia,2014,Excluded,NA,NA,Adopted,NA,203288,N/A
